[ORDER] SELL | Company: Roche Holding AG (ROG.SW) | Price: 494.962 | Quantity: 28
[ORDER] SELL | Company: TotalEnergies SE (TTE.PA) | Price: 40.5863 | Quantity: 32
[ORDER] SELL | Company: NVIDIA Corp. (NVDA) | Price: 483.162 | Quantity: 41
[ORDER] SELL | Company: Berkshire Hathaway Inc. (BRK.A) | Price: 481.617 | Quantity: 31
[ORDER] BUY | Company: Toyota Motor Corp. (7203.T) | Price: 577.064 | Quantity: 20
[ORDER] BUY | Company: Toronto-Dominion Bank (TD.TO) | Price: 105.164 | Quantity: 47
[ORDER] SELL | Company: Berkshire Hathaway Inc. (BRK.A) | Price: 580.893 | Quantity: 13
[ORDER] SELL | Company: BP plc (BP.L) | Price: 635.604 | Quantity: 44
[ORDER] BUY | Company: Walmart Inc. (WMT) | Price: 934.906 | Quantity: 41
[ORDER] BUY | Company: Berkshire Hathaway Inc. (BRK.A) | Price: 221.212 | Quantity: 28
[ORDER] BUY | Company: Amazon.com Inc. (AMZN) | Price: 573.956 | Quantity: 20
[ORDER] SELL | Company: Tesla Inc. (TSLA) | Price: 586.53 | Quantity: 13
[ORDER] SELL | Company: Tencent Holdings Ltd. (0700.HK) | Price: 185.458 | Quantity: 25
[ORDER] BUY | Company: Exxon Mobil Corp. (XOM) | Price: 752.77 | Quantity: 41
[ORDER] SELL | Company: Shell plc (SHEL.L) | Price: 530.104 | Quantity: 43
[ORDER] BUY | Company: BP plc (BP.L) | Price: 896.676 | Quantity: 31
[ORDER] SELL | Company: Bank of Montreal (BMO.TO) | Price: 418.578 | Quantity: 20
[ORDER] SELL | Company: Alibaba Group Holding Ltd. (9988.HK) | Price: 485.94 | Quantity: 5
[ORDER] BUY | Company: SAP SE (SAP.DE) | Price: 554.169 | Quantity: 23
[ORDER] BUY | Company: NVIDIA Corp. (NVDA) | Price: 444.351 | Quantity: 25
[ORDER] SELL | Company: Samsung Electronics (005930.KQ) | Price: 274.885 | Quantity: 50
[ORDER] SELL | Company: Toronto-Dominion Bank (TD.TO) | Price: 608.97 | Quantity: 31
[ORDER] BUY | Company: Amazon.com Inc. (AMZN) | Price: 63.3484 | Quantity: 6
[ORDER] BUY | Company: Walmart Inc. (WMT) | Price: 174.933 | Quantity: 29
[ORDER] BUY | Company: Nestlé S.A. (NESN.SW) | Price: 152.537 | Quantity: 25
[ORDER] BUY | Company: SoftBank Group Corp. (9984.T) | Price: 515.618 | Quantity: 41
[ORDER] BUY | Company: Royal Bank of Canada (RY.TO) | Price: 914.245 | Quantity: 36
[ORDER] BUY | Company: Unilever plc (ULVR.L) | Price: 245.763 | Quantity: 7
[ORDER] BUY | Company: CSL Ltd. (CSL.AX) | Price: 475.739 | Quantity: 2
[ORDER] SELL | Company: Toronto-Dominion Bank (TD.TO) | Price: 242.577 | Quantity: 37
[ORDER] SELL | Company: Bank of Montreal (BMO.TO) | Price: 772.723 | Quantity: 47
[ORDER] SELL | Company: Procter & Gamble Co. (PG) | Price: 149.133 | Quantity: 40
[ORDER] SELL | Company: Amazon.com Inc. (AMZN) | Price: 971.552 | Quantity: 3
[ORDER] BUY | Company: UnitedHealth Group Inc. (UNH) | Price: 857.298 | Quantity: 24
[ORDER] BUY | Company: Tesla Inc. (TSLA) | Price: 312.54 | Quantity: 14
[ORDER] SELL | Company: Toyota Motor Corp. (7203.T) | Price: 914.367 | Quantity: 26
[ORDER] BUY | Company: LVMH Moët Hennessy Louis Vuitton (MC.PA) | Price: 608.612 | Quantity: 6
[ORDER] SELL | Company: Berkshire Hathaway Inc. (BRK.A) | Price: 455.756 | Quantity: 43
[ORDER] BUY | Company: Meta Platforms Inc. (META) | Price: 313.15 | Quantity: 33
[ORDER] BUY | Company: Amazon.com Inc. (AMZN) | Price: 540.196 | Quantity: 14
[ORDER] BUY | Company: NVIDIA Corp. (NVDA) | Price: 586.13 | Quantity: 6
[ORDER] SELL | Company: Alphabet Inc. (GOOGL) | Price: 683.977 | Quantity: 40
[ORDER] BUY | Company: Meta Platforms Inc. (META) | Price: 530.55 | Quantity: 21
[ORDER] SELL | Company: Visa Inc. (V) | Price: 18.8963 | Quantity: 28
[ORDER] BUY | Company: Shopify Inc. (SHOP.TO) | Price: 134.328 | Quantity: 34
[ORDER] BUY | Company: CSL Ltd. (CSL.AX) | Price: 710.833 | Quantity: 49
[ORDER] SELL | Company: UnitedHealth Group Inc. (UNH) | Price: 979.791 | Quantity: 10
[ORDER] SELL | Company: Apple Inc. (AAPL) | Price: 131.943 | Quantity: 44
[ORDER] SELL | Company: Tata Consultancy Services (TCS.NS) | Price: 123.056 | Quantity: 49
[ORDER] BUY | Company: Canadian National Railway Co. (CNR.TO) | Price: 638.371 | Quantity: 28
[ORDER] SELL | Company: Berkshire Hathaway Inc. (BRK.A) | Price: 394.865 | Quantity: 18
[ORDER] SELL | Company: BHP Group Ltd. (BHP.AX) | Price: 31.3208 | Quantity: 46
[ORDER] SELL | Company: Toyota Motor Corp. (7203.T) | Price: 111.531 | Quantity: 24
[ORDER] SELL | Company: Exxon Mobil Corp. (XOM) | Price: 323.248 | Quantity: 38
[ORDER] BUY | Company: UnitedHealth Group Inc. (UNH) | Price: 34.3311 | Quantity: 39
[ORDER] SELL | Company: HSBC Holdings plc (HSBA.L) | Price: 153.47 | Quantity: 2
[ORDER] BUY | Company: TotalEnergies SE (TTE.PA) | Price: 407.474 | Quantity: 43
[MATCH] Company: TotalEnergies SE (TTE.PA) | Matching Buy @407.474 with Sell @40.5863 | Quantity: 32
[TRADE] Company: TotalEnergies SE (TTE.PA) | Buy @407.474 | Sell @40.5863 | Quantity: 32
[ORDER] BUY | Company: Walmart Inc. (WMT) | Price: 376.105 | Quantity: 6
[ORDER] SELL | Company: Air Canada (AC.TO) | Price: 53.9117 | Quantity: 7
[ORDER] SELL | Company: NVIDIA Corp. (NVDA) | Price: 595.266 | Quantity: 28
[ORDER] SELL | Company: ICICI Bank Ltd. (ICICIBANK.NS) | Price: 811.65 | Quantity: 10
[ORDER] SELL | Company: Amazon.com Inc. (AMZN) | Price: 712.461 | Quantity: 24
[ORDER] SELL | Company: Toronto-Dominion Bank (TD.TO) | Price: 720.406 | Quantity: 14
[ORDER] BUY | Company: ICICI Bank Ltd. (ICICIBANK.NS) | Price: 855.773 | Quantity: 46
[ORDER] BUY | Company: Tesla Inc. (TSLA) | Price: 19.8115 | Quantity: 7
[ORDER] BUY | Company: Reliance Industries Ltd. (RELIANCE.NS) | Price: 955.014 | Quantity: 33
[ORDER] SELL | Company: NVIDIA Corp. (NVDA) | Price: 659.981 | Quantity: 29
[ORDER] BUY | Company: Unilever plc (ULVR.L) | Price: 738.104 | Quantity: 39
[ORDER] BUY | Company: Canadian National Railway Co. (CNR.TO) | Price: 970.451 | Quantity: 8
[ORDER] BUY | Company: JPMorgan Chase & Co. (JPM) | Price: 128.592 | Quantity: 23
[ORDER] BUY | Company: Microsoft Corp. (MSFT) | Price: 768.771 | Quantity: 4
[ORDER] SELL | Company: Procter & Gamble Co. (PG) | Price: 37.5291 | Quantity: 3
[ORDER] SELL | Company: Alibaba Group Holding Ltd. (9988.HK) | Price: 162.817 | Quantity: 42
[ORDER] BUY | Company: Apple Inc. (AAPL) | Price: 773.876 | Quantity: 36
[ORDER] BUY | Company: Walmart Inc. (WMT) | Price: 894.083 | Quantity: 7
[ORDER] BUY | Company: Toyota Motor Corp. (7203.T) | Price: 348.586 | Quantity: 28
[ORDER] SELL | Company: JPMorgan Chase & Co. (JPM) | Price: 533.711 | Quantity: 33
[ORDER] SELL | Company: Procter & Gamble Co. (PG) | Price: 197.115 | Quantity: 18
[ORDER] BUY | Company: Meta Platforms Inc. (META) | Price: 194.427 | Quantity: 12
[ORDER] SELL | Company: Nestlé S.A. (NESN.SW) | Price: 545.407 | Quantity: 40
[ORDER] SELL | Company: NVIDIA Corp. (NVDA) | Price: 923.03 | Quantity: 37
[ORDER] BUY | Company: SoftBank Group Corp. (9984.T) | Price: 260.154 | Quantity: 50
[ORDER] BUY | Company: Infosys Ltd. (INFY.NS) | Price: 315.521 | Quantity: 35
[ORDER] BUY | Company: Volkswagen AG (VOW.DE) | Price: 36.7297 | Quantity: 49
[ORDER] SELL | Company: JPMorgan Chase & Co. (JPM) | Price: 790.498 | Quantity: 40
[ORDER] SELL | Company: Tata Consultancy Services (TCS.NS) | Price: 955.178 | Quantity: 3
[ORDER] BUY | Company: Volkswagen AG (VOW.DE) | Price: 619.491 | Quantity: 45
[ORDER] SELL | Company: ICICI Bank Ltd. (ICICIBANK.NS) | Price: 61.2309 | Quantity: 8
[ORDER] BUY | Company: Sony Group Corp. (6758.T) | Price: 708.417 | Quantity: 43
[ORDER] BUY | Company: Royal Bank of Canada (RY.TO) | Price: 526.612 | Quantity: 22
[ORDER] SELL | Company: Royal Bank of Canada (RY.TO) | Price: 46.908 | Quantity: 27
[ORDER] SELL | Company: Nestlé S.A. (NESN.SW) | Price: 261.176 | Quantity: 30
[ORDER] BUY | Company: Tencent Holdings Ltd. (0700.HK) | Price: 603.096 | Quantity: 19
[ORDER] BUY | Company: Sony Group Corp. (6758.T) | Price: 383.485 | Quantity: 27
[ORDER] SELL | Company: Unilever plc (ULVR.L) | Price: 381.912 | Quantity: 25
[ORDER] BUY | Company: Roche Holding AG (ROG.SW) | Price: 541.466 | Quantity: 30
[ORDER] SELL | Company: Apple Inc. (AAPL) | Price: 177.096 | Quantity: 45
[ORDER] BUY | Company: SAP SE (SAP.DE) | Price: 705.925 | Quantity: 2
[ORDER] BUY | Company: Johnson & Johnson (JNJ) | Price: 157.772 | Quantity: 7
[ORDER] BUY | Company: Roche Holding AG (ROG.SW) | Price: 449.892 | Quantity: 5
[ORDER] BUY | Company: Bank of Montreal (BMO.TO) | Price: 862.21 | Quantity: 28
[ORDER] SELL | Company: Walmart Inc. (WMT) | Price: 415.148 | Quantity: 37
[ORDER] SELL | Company: Canadian National Railway Co. (CNR.TO) | Price: 245.788 | Quantity: 13
[ORDER] BUY | Company: Samsung Electronics (005930.KQ) | Price: 717.308 | Quantity: 47
[ORDER] BUY | Company: Sony Corporation (6758.T) | Price: 516.399 | Quantity: 49
[ORDER] SELL | Company: Toronto-Dominion Bank (TD.TO) | Price: 808.364 | Quantity: 14
[ORDER] BUY | Company: SoftBank Group Corp. (9984.T) | Price: 226.744 | Quantity: 50
[ORDER] SELL | Company: TotalEnergies SE (TTE.PA) | Price: 617.767 | Quantity: 38
[ORDER] SELL | Company: SoftBank Group Corp. (9984.T) | Price: 294.314 | Quantity: 2
[ORDER] BUY | Company: Shopify Inc. (SHOP.TO) | Price: 498.684 | Quantity: 12
[ORDER] BUY | Company: Procter & Gamble Co. (PG) | Price: 353.431 | Quantity: 39
[ORDER] BUY | Company: Toronto-Dominion Bank (TD.TO) | Price: 149.587 | Quantity: 12
[ORDER] SELL | Company: BHP Group Ltd. (BHP.AX) | Price: 506.022 | Quantity: 37
[ORDER] SELL | Company: Apple Inc. (AAPL) | Price: 379.801 | Quantity: 12
[ORDER] BUY | Company: BHP Group Ltd. (BHP.AX) | Price: 85.1542 | Quantity: 36
[ORDER] BUY | Company: Air Canada (AC.TO) | Price: 701.831 | Quantity: 33
[ORDER] SELL | Company: Tencent Holdings Ltd. (0700.HK) | Price: 989.923 | Quantity: 42
[ORDER] BUY | Company: Unilever plc (ULVR.L) | Price: 186.052 | Quantity: 27
[ORDER] BUY | Company: Air Canada (AC.TO) | Price: 301.56 | Quantity: 36
[ORDER] BUY | Company: SAP SE (SAP.DE) | Price: 835.753 | Quantity: 19
[ORDER] SELL | Company: Exxon Mobil Corp. (XOM) | Price: 347.601 | Quantity: 46
[ORDER] SELL | Company: ICICI Bank Ltd. (ICICIBANK.NS) | Price: 504.605 | Quantity: 15
[ORDER] BUY | Company: Unilever plc (ULVR.L) | Price: 205.626 | Quantity: 2
[ORDER] SELL | Company: Unilever plc (ULVR.L) | Price: 104.083 | Quantity: 31
[ORDER] SELL | Company: Tencent Holdings Ltd. (0700.HK) | Price: 322.786 | Quantity: 37
[ORDER] BUY | Company: Microsoft Corp. (MSFT) | Price: 49.1708 | Quantity: 19
[ORDER] BUY | Company: UnitedHealth Group Inc. (UNH) | Price: 417.831 | Quantity: 18
[ORDER] BUY | Company: Toronto-Dominion Bank (TD.TO) | Price: 704.003 | Quantity: 46
[ORDER] BUY | Company: Sony Corporation (6758.T) | Price: 21.4184 | Quantity: 37
[ORDER] BUY | Company: BP plc (BP.L) | Price: 730.327 | Quantity: 21
[ORDER] SELL | Company: TotalEnergies SE (TTE.PA) | Price: 924.784 | Quantity: 18
[ORDER] BUY | Company: Reliance Industries Ltd. (RELIANCE.NS) | Price: 975.2 | Quantity: 2
[ORDER] SELL | Company: Microsoft Corp. (MSFT) | Price: 334.727 | Quantity: 39
[ORDER] SELL | Company: Apple Inc. (AAPL) | Price: 282.988 | Quantity: 41
[ORDER] SELL | Company: Bank of Montreal (BMO.TO) | Price: 238.033 | Quantity: 31
[ORDER] BUY | Company: Apple Inc. (AAPL) | Price: 67.0067 | Quantity: 1
[ORDER] SELL | Company: Tencent Holdings Ltd. (0700.HK) | Price: 499.066 | Quantity: 22
[ORDER] SELL | Company: Exxon Mobil Corp. (XOM) | Price: 552.823 | Quantity: 46
[ORDER] SELL | Company: CSL Ltd. (CSL.AX) | Price: 897.081 | Quantity: 9
[ORDER] BUY | Company: Berkshire Hathaway Inc. (BRK.A) | Price: 141.485 | Quantity: 3
[ORDER] BUY | Company: Nestlé S.A. (NESN.SW) | Price: 614.57 | Quantity: 2
[ORDER] SELL | Company: Shopify Inc. (SHOP.TO) | Price: 558.964 | Quantity: 26
[ORDER] BUY | Company: Tata Consultancy Services (TCS.NS) | Price: 306.971 | Quantity: 3
[ORDER] SELL | Company: Commonwealth Bank of Australia (CBA.AX) | Price: 853.405 | Quantity: 25
[ORDER] SELL | Company: Sony Corporation (6758.T) | Price: 362.936 | Quantity: 48
[ORDER] SELL | Company: Samsung Electronics (005930.KQ) | Price: 377.908 | Quantity: 20
[ORDER] BUY | Company: Toronto-Dominion Bank (TD.TO) | Price: 395.46 | Quantity: 16
[ORDER] BUY | Company: Exxon Mobil Corp. (XOM) | Price: 320.166 | Quantity: 49
[ORDER] BUY | Company: Exxon Mobil Corp. (XOM) | Price: 566.434 | Quantity: 43
[ORDER] BUY | Company: Nestlé S.A. (NESN.SW) | Price: 539.513 | Quantity: 27
[ORDER] BUY | Company: Procter & Gamble Co. (PG) | Price: 718.668 | Quantity: 31
[ORDER] BUY | Company: SAP SE (SAP.DE) | Price: 167.203 | Quantity: 36
[ORDER] BUY | Company: JPMorgan Chase & Co. (JPM) | Price: 228.197 | Quantity: 34
[ORDER] BUY | Company: Air Canada (AC.TO) | Price: 195.44 | Quantity: 13
[ORDER] SELL | Company: Commonwealth Bank of Australia (CBA.AX) | Price: 685.229 | Quantity: 10
[ORDER] SELL | Company: Nestlé S.A. (NESN.SW) | Price: 442.997 | Quantity: 5
[ORDER] BUY | Company: Infosys Ltd. (INFY.NS) | Price: 628.549 | Quantity: 32
[ORDER] SELL | Company: TotalEnergies SE (TTE.PA) | Price: 343.988 | Quantity: 43
[ORDER] SELL | Company: Alphabet Inc. (GOOGL) | Price: 452.129 | Quantity: 27
[ORDER] SELL | Company: Toronto-Dominion Bank (TD.TO) | Price: 724.702 | Quantity: 26
[ORDER] SELL | Company: Tesla Inc. (TSLA) | Price: 316.285 | Quantity: 2
[ORDER] SELL | Company: Berkshire Hathaway Inc. (BRK.A) | Price: 929.825 | Quantity: 50
[ORDER] SELL | Company: Samsung Electronics (005930.KQ) | Price: 988.39 | Quantity: 33
[ORDER] SELL | Company: Exxon Mobil Corp. (XOM) | Price: 753.256 | Quantity: 22
[ORDER] SELL | Company: BP plc (BP.L) | Price: 776.325 | Quantity: 42
[ORDER] SELL | Company: Reliance Industries Ltd. (RELIANCE.NS) | Price: 124.848 | Quantity: 7
[ORDER] SELL | Company: Roche Holding AG (ROG.SW) | Price: 518.067 | Quantity: 16
[ORDER] BUY | Company: Johnson & Johnson (JNJ) | Price: 379.878 | Quantity: 48
[ORDER] SELL | Company: Sony Corporation (6758.T) | Price: 191.675 | Quantity: 5
[ORDER] BUY | Company: BP plc (BP.L) | Price: 455.146 | Quantity: 6
[ORDER] BUY | Company: Infosys Ltd. (INFY.NS) | Price: 908.35 | Quantity: 29
[ORDER] BUY | Company: JPMorgan Chase & Co. (JPM) | Price: 130.825 | Quantity: 22
[ORDER] SELL | Company: Volkswagen AG (VOW.DE) | Price: 537.774 | Quantity: 29
[ORDER] SELL | Company: BHP Group Ltd. (BHP.AX) | Price: 5.8147 | Quantity: 12
[ORDER] BUY | Company: TotalEnergies SE (TTE.PA) | Price: 369.48 | Quantity: 33
[ORDER] BUY | Company: UnitedHealth Group Inc. (UNH) | Price: 188.856 | Quantity: 24
[ORDER] BUY | Company: Roche Holding AG (ROG.SW) | Price: 202.418 | Quantity: 28
[ORDER] SELL | Company: Johnson & Johnson (JNJ) | Price: 56.5887 | Quantity: 28
[ORDER] BUY | Company: Roche Holding AG (ROG.SW) | Price: 917.355 | Quantity: 50
[ORDER] BUY | Company: Microsoft Corp. (MSFT) | Price: 65.0411 | Quantity: 38
[ORDER] SELL | Company: Tesla Inc. (TSLA) | Price: 353.828 | Quantity: 15
[ORDER] SELL | Company: Nestlé S.A. (NESN.SW) | Price: 439.994 | Quantity: 16
[ORDER] BUY | Company: Shell plc (SHEL.L) | Price: 596.414 | Quantity: 35
[ORDER] BUY | Company: Siemens AG (SIE.DE) | Price: 710.952 | Quantity: 49
[ORDER] SELL | Company: Johnson & Johnson (JNJ) | Price: 818.869 | Quantity: 37
[ORDER] SELL | Company: Sony Group Corp. (6758.T) | Price: 826.492 | Quantity: 14
[ORDER] SELL | Company: Alibaba Group Holding Ltd. (9988.HK) | Price: 623.098 | Quantity: 25
[ORDER] SELL | Company: BHP Group Ltd. (BHP.AX) | Price: 442.774 | Quantity: 1
[ORDER] SELL | Company: Toronto-Dominion Bank (TD.TO) | Price: 436.11 | Quantity: 7
[ORDER] BUY | Company: Tencent Holdings Ltd. (0700.HK) | Price: 827.907 | Quantity: 36
[MATCH] Company: Tencent Holdings Ltd. (0700.HK) | Matching Buy @827.907 with Sell @185.458 | Quantity: 25
[TRADE] Company: Tencent Holdings Ltd. (0700.HK) | Buy @827.907 | Sell @185.458 | Quantity: 25
[ORDER] SELL | Company: HSBC Holdings plc (HSBA.L) | Price: 840.484 | Quantity: 5
[ORDER] BUY | Company: Tesla Inc. (TSLA) | Price: 703.279 | Quantity: 48
[MATCH] Company: Tesla Inc. (TSLA) | Matching Buy @703.279 with Sell @316.285 | Quantity: 2
[TRADE] Company: Tesla Inc. (TSLA) | Buy @703.279 | Sell @316.285 | Quantity: 2
[ORDER] SELL | Company: Sony Corporation (6758.T) | Price: 236.151 | Quantity: 45
[ORDER] BUY | Company: Volkswagen AG (VOW.DE) | Price: 181.532 | Quantity: 7
[ORDER] BUY | Company: Air Canada (AC.TO) | Price: 401.47 | Quantity: 35
[ORDER] BUY | Company: Nestlé S.A. (NESN.SW) | Price: 717.52 | Quantity: 8
[MATCH] Company: Nestlé S.A. (NESN.SW) | Matching Buy @717.52 with Sell @261.176 | Quantity: 8
[TRADE] Company: Nestlé S.A. (NESN.SW) | Buy @717.52 | Sell @261.176 | Quantity: 8
[ORDER] SELL | Company: Nestlé S.A. (NESN.SW) | Price: 673.534 | Quantity: 2
[ORDER] BUY | Company: Rio Tinto Ltd. (RIO.AX) | Price: 987.05 | Quantity: 45
[ORDER] BUY | Company: Shopify Inc. (SHOP.TO) | Price: 118.854 | Quantity: 10
[ORDER] BUY | Company: SoftBank Group Corp. (9984.T) | Price: 339.54 | Quantity: 46
[ORDER] BUY | Company: Exxon Mobil Corp. (XOM) | Price: 128.719 | Quantity: 16
[ORDER] SELL | Company: HSBC Holdings plc (HSBA.L) | Price: 970.283 | Quantity: 16
[ORDER] BUY | Company: Shopify Inc. (SHOP.TO) | Price: 412.537 | Quantity: 34
[ORDER] SELL | Company: Royal Bank of Canada (RY.TO) | Price: 638.144 | Quantity: 27
[ORDER] BUY | Company: Meta Platforms Inc. (META) | Price: 153.222 | Quantity: 40
[ORDER] BUY | Company: Alibaba Group Holding Ltd. (9988.HK) | Price: 779.902 | Quantity: 31
[ORDER] SELL | Company: JPMorgan Chase & Co. (JPM) | Price: 503.724 | Quantity: 25
[ORDER] SELL | Company: Siemens AG (SIE.DE) | Price: 686.683 | Quantity: 33
[ORDER] SELL | Company: Berkshire Hathaway Inc. (BRK.A) | Price: 629.949 | Quantity: 14
[ORDER] SELL | Company: Visa Inc. (V) | Price: 942.536 | Quantity: 32
[ORDER] SELL | Company: Walmart Inc. (WMT) | Price: 482.084 | Quantity: 45
[ORDER] SELL | Company: Microsoft Corp. (MSFT) | Price: 320.735 | Quantity: 35
[ORDER] BUY | Company: Alphabet Inc. (GOOGL) | Price: 664.187 | Quantity: 24
[ORDER] SELL | Company: Toronto-Dominion Bank (TD.TO) | Price: 645.542 | Quantity: 38
[ORDER] BUY | Company: Toyota Motor Corp. (7203.T) | Price: 749.16 | Quantity: 29
[ORDER] BUY | Company: Reliance Industries Ltd. (RELIANCE.NS) | Price: 164.771 | Quantity: 12
[ORDER] SELL | Company: CSL Ltd. (CSL.AX) | Price: 463.16 | Quantity: 38
[ORDER] SELL | Company: Shopify Inc. (SHOP.TO) | Price: 248.657 | Quantity: 33
[ORDER] SELL | Company: Apple Inc. (AAPL) | Price: 734.775 | Quantity: 49
[ORDER] SELL | Company: Alibaba Group Holding Ltd. (9988.HK) | Price: 921.74 | Quantity: 16
[ORDER] BUY | Company: Amazon.com Inc. (AMZN) | Price: 271.655 | Quantity: 4
[ORDER] SELL | Company: TotalEnergies SE (TTE.PA) | Price: 580.805 | Quantity: 36
[ORDER] SELL | Company: ICICI Bank Ltd. (ICICIBANK.NS) | Price: 397.987 | Quantity: 27
[ORDER] SELL | Company: Meta Platforms Inc. (META) | Price: 892.749 | Quantity: 25
[ORDER] BUY | Company: UnitedHealth Group Inc. (UNH) | Price: 871.407 | Quantity: 35
[ORDER] SELL | Company: Bank of Montreal (BMO.TO) | Price: 285.373 | Quantity: 9
[ORDER] BUY | Company: Air Canada (AC.TO) | Price: 183.666 | Quantity: 5
[ORDER] SELL | Company: Visa Inc. (V) | Price: 612.097 | Quantity: 28
[ORDER] BUY | Company: NVIDIA Corp. (NVDA) | Price: 216.589 | Quantity: 22
[ORDER] BUY | Company: Procter & Gamble Co. (PG) | Price: 586.57 | Quantity: 28
[ORDER] SELL | Company: Berkshire Hathaway Inc. (BRK.A) | Price: 768.543 | Quantity: 16
[ORDER] BUY | Company: Procter & Gamble Co. (PG) | Price: 73.8602 | Quantity: 49
[ORDER] BUY | Company: Shell plc (SHEL.L) | Price: 540.97 | Quantity: 47
[ORDER] BUY | Company: Roche Holding AG (ROG.SW) | Price: 758.136 | Quantity: 35
[ORDER] BUY | Company: Volkswagen AG (VOW.DE) | Price: 125.737 | Quantity: 45
[ORDER] SELL | Company: LVMH Moët Hennessy Louis Vuitton (MC.PA) | Price: 434.073 | Quantity: 17
[ORDER] BUY | Company: Toyota Motor Corp. (7203.T) | Price: 235.577 | Quantity: 36
[ORDER] SELL | Company: Tencent Holdings Ltd. (0700.HK) | Price: 520.369 | Quantity: 5
[ORDER] SELL | Company: SAP SE (SAP.DE) | Price: 148.606 | Quantity: 4
